省份,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,6499261 ,372465,17.45 ,1.0388 ,16.7 ,2.76 ,3.2 ,29.9 
天津,2246773 ,412076,5.45 ,1.1771 ,14.2 ,5.44 ,4.2 ,40.8 
河北,3682387 ,4796609,0.77 ,0.9959 ,12.3 ,14.28 ,2.7 ,37.2 
山西,2398609 ,1553248,1.54 ,1.0396 ,13.0 ,16.65 ,2.7 ,43.8 
内蒙古,2600241 ,1413897,1.84 ,1.0335 ,19.4 ,11.54 ,2.4 ,40.5 
辽宁,4431523 ,1826013,2.43 ,0.9897 ,16.1 ,12.30 ,3.6 ,33.9 
吉林,1968662 ,2067015,0.95 ,0.9700 ,21.4 ,14.09 ,4.2 ,29.0 
黑龙江,2163025 ,3566580,0.61 ,1.0557 ,21.3 ,14.29 ,5.4 ,38.4 
上海,8405336 ,448159,18.76 ,1.1286 ,17.4 ,2.92 ,2.2 ,37.0 
江苏,9296524 ,4673506,1.99 ,1.0131 ,13.1 ,9.85 ,1.8 ,32.1 
浙江,11731011 ,2878862,4.07 ,1.0126 ,11.1 ,4.82 ,2.2 ,36.2 
安徽,3266429 ,10922976,0.30 ,1.0565 ,12.2 ,12.67 ,2.0 ,42.8 
福建,5251556 ,2292547,2.29 ,1.0683 ,10.1 ,14.28 ,2.9 ,33.4 
江西,1849749 ,7113013,0.26 ,1.0278 ,11.3 ,20.12 ,2.7 ,38.5 
山东,6539416 ,4898121,1.34 ,1.0620 ,14.6 ,11.70 ,3.4 ,39.1 
河南,4505826 ,10614364,0.42 ,1.0597 ,15.1 ,18.33 ,2.3 ,47.1 
湖北,3881341 ,7490395,0.52 ,1.0309 ,11.1 ,17.27 ,3.3 ,40.5 
湖南,3218535 ,9438514,0.34 ,1.0329 ,11.5 ,20.51 ,2.8 ,36.3 
广东,25385202 ,1434653,17.69 ,1.0946 ,9.7 ,15.64 ,3.3 ,33.1 
广西,2675460 ,5551622,0.48 ,1.0802 ,11.2 ,22.60 ,4.3 ,41.4 
海南,781388 ,432928,1.80 ,1.0422 ,38.7 ,0.06 ,5.7 ,36.3 
重庆,2380469 ,3975606,0.60 ,1.0573 ,24.0 ,19.33 ,5.1 ,34.8 
四川,4839374 ,10750402,0.45 ,0.9880 ,28.4 ,18.84 ,2.3 ,34.8 
贵州,2068837 ,3954335,0.52 ,1.1679 ,21.5 ,19.51 ,4.5 ,49.0 
云南,2383831 ,1650773,1.44 ,1.1755 ,33.7 ,16.80 ,5.5 ,38.0 
西藏,132844 ,76776,1.73 ,1.1055 ,46.8 ,0.04 ,6.2 ,40.3 
陕西,2306703 ,2551964,0.90 ,1.0268 ,19.8 ,17.83 ,2.8 ,39.5 
甘肃,1313575 ,2040378,0.64 ,1.0385 ,27.0 ,17.53 ,4.2 ,46.8 
青海,433901 ,287815,1.51 ,1.2850 ,27.4 ,13.84 ,4.3 ,50.4 
宁夏,562846 ,288573,1.95 ,1.2709 ,23.6 ,13.73 ,4.0 ,43.7 
新疆,2099293 ,574782,3.65 ,1.2851 ,32.2 ,7.30 ,5.8 ,39.5 
