省份,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,6599463,388595,16.98 ,1.2254 ,17.4 ,3.29 ,2.9 ,29.8 
天津,2494848,474647,5.26 ,1.2198 ,14.5 ,6.44 ,3.2 ,35.8 
河北,6060251,6153705,0.98 ,1.0748 ,12.6 ,16.14 ,2.7 ,38.4 
山西,3986495,2020470,1.97 ,1.0909 ,13.8 ,19.12 ,2.5 ,43.1 
内蒙古,3475508,1821625,1.91 ,1.1379 ,19.1 ,14.07 ,2.1 ,40.2 
辽宁,7215496,2071290,3.48 ,1.0051 ,16.1 ,13.04 ,3.6 ,35.2 
吉林,3555702,2633318,1.35 ,0.9906 ,21.3 ,14.41 ,4.2 ,30.9 
黑龙江,3843271,4782524,0.80 ,1.0218 ,22.2 ,15.57 ,5.0 ,37.4 
上海,5864334,342415,17.13 ,1.2472 ,18.0 ,3.82 ,1.9 ,33.8 
江苏,10192569,6088592,1.67 ,1.0966 ,13.0 ,11.05 ,1.8 ,32.7 
浙江,7569612,3693662,2.05 ,1.1505 ,11.1 ,5.38 ,2.0 ,36.8 
安徽,5730712,14784077,0.39 ,1.0585 ,12.4 ,14.32 ,1.9 ,41.5 
福建,6000918,3230375,1.86 ,1.1376 ,10.2 ,16.89 ,2.6 ,32.4 
江西,3303891,9999940,0.33 ,1.1218 ,11.6 ,23.41 ,2.5 ,38.5 
山东,10953762,5922567,1.85 ,1.0929 ,15.8 ,13.50 ,3.2 ,37.8 
河南,8482598,14455940,0.59 ,1.0838 ,14.5 ,21.13 ,2.1 ,45.5 
湖北,6882127,10557400,0.65 ,1.0510 ,11.1 ,18.90 ,3.0 ,40.4 
湖南,5957388,13296743,0.45 ,1.0778 ,12.7 ,23.20 ,2.6 ,36.2 
广东,27249421,1793157,15.20 ,1.2149 ,9.2 ,19.97 ,2.8 ,31.3 
广西,4586418,7976968,0.57 ,1.0403 ,11.7 ,25.38 ,3.7 ,39.4 
海南,1053374,582382,1.81 ,1.1879 ,37.9 ,0.32 ,4.9 ,35.9 
重庆,3856304,5475988,0.70 ,1.0224 ,23.2 ,21.05 ,4.7 ,34.0 
四川,8552530,14324568,0.60 ,1.0707 ,29.7 ,21.50 ,2.3 ,36.3 
贵州,3246900,4965892,0.65 ,1.0866 ,22.8 ,22.16 ,3.6 ,43.0 
云南,3465215,2055139,1.69 ,1.1857 ,36.5 ,20.78 ,4.3 ,33.4 
西藏,139534,92256,1.51 ,1.3563 ,47.6 ,0.01 ,5.3 ,37.5 
陕西,3845232,3387014,1.14 ,1.1859 ,20.5 ,21.65 ,2.6 ,39.5 
甘肃,2168811,2515083,0.86 ,1.1385 ,30.0 ,21.10 ,3.8 ,46.1 
青海,398343,350220,1.14 ,1.2607 ,29.6 ,17.60 ,3.1 ,40.3 
宁夏,649461,348736,1.86 ,1.2146 ,25.9 ,17.52 ,3.0 ,35.5 
新疆,1721563,737086,2.34 ,1.1485 ,34.1 ,8.09 ,4.2 ,31.8 
