省份,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,6910537,397059,17.40 ,1.1155 ,17.2 ,4.77 ,2.7 ,25.8 
天津,2690043,420854,6.39 ,1.0821 ,13.9 ,9.90 ,3.3 ,32.0 
河北,8156851,5749051,1.42 ,1.0355 ,11.4 ,18.88 ,2.7 ,36.1 
山西,4823124,2036671,2.37 ,1.0771 ,12.7 ,23.00 ,2.4 ,39.1 
内蒙古,4472676,1728022,2.59 ,1.1121 ,18.0 ,17.58 ,2.1 ,35.2 
辽宁,7843499,2084464,3.76 ,1.0512 ,14.4 ,14.23 ,3.5 ,32.6 
吉林,4023274,2417675,1.66 ,1.0458 ,20.3 ,15.74 ,4.1 ,28.6 
黑龙江,4677322,4248903,1.10 ,1.0407 ,22.3 ,17.23 ,4.9 ,35.0 
上海,8077585,432686,18.67 ,1.1036 ,17.1 ,5.17 ,1.8 ,29.7 
江苏,12912548,5913980,2.18 ,0.9875 ,13.0 ,13.90 ,1.8 ,32.1 
浙江,11939703,3919899,3.05 ,1.0582 ,9.9 ,7.46 ,2.0 ,33.8 
安徽,7639829,12121936,0.63 ,1.0272 ,11.8 ,16.82 ,1.9 ,39.4 
福建,7142831,2952783,2.42 ,1.0615 ,9.3 ,21.89 ,2.6 ,29.5 
江西,4348218,8104159,0.54 ,1.0694 ,10.4 ,29.65 ,2.5 ,35.0 
山东,13680921,5989853,2.28 ,1.0146 ,13.9 ,16.23 ,3.2 ,36.3 
河南,11106411,12401223,0.90 ,1.0136 ,14.1 ,25.04 ,2.2 ,43.9 
湖北,8125458,8719381,0.93 ,1.0603 ,10.1 ,22.53 ,3.0 ,37.1 
湖南,7573251,10969826,0.69 ,1.0707 ,11.6 ,27.74 ,2.5 ,32.8 
广东,28283394,2445882,11.56 ,1.0442 ,8.3 ,27.56 ,2.9 ,28.9 
广西,5887502,6756533,0.87 ,1.0945 ,11.0 ,29.10 ,3.6 ,35.0 
海南,1240395,554478,2.24 ,1.1333 ,34.8 ,0.04 ,4.8 ,30.7 
重庆,4689829,4593363,1.02 ,1.0423 ,23.9 ,23.36 ,4.6 ,31.6 
四川,11196565,12253055,0.91 ,1.0402 ,29.0 ,24.90 ,2.3 ,33.9 
贵州,4609312,4412646,1.04 ,1.0712 ,23.0 ,27.18 ,3.6 ,39.2 
云南,5060740,2301907,2.20 ,1.0965 ,36.3 ,27.33 ,4.2 ,29.4 
西藏,125931,97456,1.29 ,1.0463 ,46.8 ,0.11 ,5.3 ,34.8 
陕西,4724845,3084407,1.53 ,1.0723 ,20.3 ,28.98 ,2.6 ,35.9 
甘肃,2904698,2314109,1.26 ,1.0315 ,30.8 ,26.83 ,3.9 ,43.7 
青海,650820,352946,1.84 ,1.0680 ,30.3 ,25.26 ,3.2 ,36.8 
宁夏,878900,369068,2.38 ,1.0500 ,24.8 ,23.19 ,3.0 ,32.8 
新疆,3270812,915405,3.57 ,1.0813 ,34.2 ,11.21 ,4.2 ,28.4 
