,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,7261667 ,570018 ,12.74 ,1.1141 ,12.0 ,1.57 ,2.4 ,25.2 
天津,4679064 ,520887 ,8.98 ,1.3997 ,8.1 ,3.22 ,2.9 ,31.8 
河北,19505053 ,4215719 ,4.63 ,1.0104 ,9.9 ,6.37 ,2.6 ,36.9 
山西,9962809 ,1820250 ,5.47 ,1.1255 ,9.3 ,8.02 ,2.1 ,37.2 
内蒙古,7771513 ,1851784 ,4.20 ,1.1560 ,14.1 ,5.56 ,1.8 ,34.6 
辽宁,12941896 ,1513734 ,8.55 ,1.0206 ,13.3 ,5.96 ,3.6 ,35.5 
吉林,7639860 ,1706603 ,4.48 ,0.9665 ,18.5 ,6.49 ,4.7 ,34.4 
黑龙江,11409965 ,3148760 ,3.62 ,0.9999 ,17.2 ,6.59 ,5.0 ,37.9 
上海,9387741 ,1091670 ,8.60 ,1.1138 ,12.7 ,1.59 ,1.6 ,29.4 
江苏,25830604 ,4156576 ,6.21 ,1.1082 ,9.5 ,4.83 ,1.3 ,23.3 
浙江,18685649 ,4346890 ,4.30 ,1.1468 ,7.9 ,2.59 ,1.6 ,28.9 
安徽,15588658 ,8370499 ,1.86 ,1.0524 ,9.3 ,5.95 ,1.5 ,33.4 
福建,11830198 ,2904467 ,4.07 ,1.1439 ,7.0 ,6.66 ,2.0 ,34.7 
江西,12598251 ,6101789 ,2.06 ,1.0942 ,8.4 ,8.98 ,1.9 ,30.8 
山东,26750588 ,3807106 ,7.03 ,1.0765 ,11.1 ,5.52 ,2.5 ,30.3 
河南,21643216 ,7667060 ,2.82 ,1.0551 ,11.8 ,8.28 ,1.6 ,33.7 
湖北,15584804 ,6253481 ,2.49 ,1.0525 ,8.6 ,8.00 ,2.7 ,35.2 
湖南,17667073 ,8224022 ,2.15 ,1.0498 ,8.6 ,9.20 ,2.4 ,32.9 
广东,34268851 ,2628417 ,13.04 ,1.1822 ,6.7 ,6.79 ,2.0 ,27.0 
广西,11393163 ,5131566 ,2.22 ,1.0147 ,8.6 ,10.02 ,3.5 ,38.0 
海南,2517097 ,516373 ,4.87 ,1.0762 ,31.2 ,0.55 ,5.1 ,37.8 
重庆,8763997 ,3444508 ,2.54 ,1.0396 ,19.0 ,9.11 ,3.9 ,29.0 
四川,19509278 ,8875146 ,2.20 ,1.0461 ,22.4 ,8.56 ,2.0 ,31.3 
贵州,7175001 ,3144651 ,2.28 ,1.0668 ,16.1 ,8.79 ,3.2 ,38.1 
云南,10237325 ,1828247 ,5.60 ,1.1821 ,23.1 ,7.67 ,3.7 ,28.8 
西藏,435542 ,103490 ,4.21 ,1.3350 ,29.5 ,0.59 ,4.8 ,34.2 
陕西,10112599 ,2594812 ,3.90 ,1.1671 ,13.7 ,8.01 ,2.0 ,30.3 
甘肃,5249373 ,1535590 ,3.42 ,1.1351 ,18.7 ,8.00 ,2.7 ,32.7 
青海,1465789 ,346462 ,4.23 ,1.2277 ,17.7 ,6.11 ,2.4 ,30.6 
宁夏,1593899 ,306302 ,5.20 ,1.1337 ,16.8 ,5.93 ,2.5 ,29.4 
新疆,5039880 ,727111 ,6.93 ,1.0931 ,23.9 ,3.48 ,4.5 ,33.5 
