,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,6527674,351588,18.57 ,1.1096 ,17.9 ,4.53 ,2.7 ,26.9 
天津,2650099,324955,8.16 ,1.0944 ,13.7 ,7.74 ,3.3 ,32.7 
河北,12410331,5700690,2.18 ,0.9996 ,12.2 ,13.38 ,2.8 ,38.4 
山西,6615184,2305923,2.87 ,1.0145 ,13.2 ,15.97 ,2.6 ,42.5 
内蒙古,5537432,1730691,3.20 ,1.0583 ,17.8 ,12.57 ,2.2 ,38.0 
辽宁,9331515,2322102,4.02 ,0.9348 ,14.7 ,10.47 ,3.9 ,37.7 
吉林,5216968,2317492,2.25 ,0.9213 ,19.8 ,11.41 ,4.6 ,33.6 
黑龙江,6483744,3790950,1.71 ,0.9503 ,23.2 ,12.35 ,5.4 ,39.4 
上海,7612462,416497,18.28 ,1.1299 ,17.0 ,4.78 ,1.7 ,29.9 
江苏,16115304,6125101,2.63 ,1.0199 ,13.5 ,10.26 ,1.8 ,32.0 
浙江,14122273,4281657,3.30 ,1.0699 ,10.8 ,6.22 ,2.0 ,34.4 
安徽,11647547,8711906,1.34 ,0.9844 ,12.5 ,12.09 ,2.0 ,42.2 
福建,8537193,2655414,3.22 ,1.0579 ,10.3 ,15.27 ,2.6 ,30.6 
江西,6694945,5609415,1.19 ,1.0432 ,11.3 ,20.14 ,2.5 ,36.9 
山东,19274462,6843956,2.82 ,1.0164 ,14.3 ,11.72 ,3.2 ,37.2 
河南,17163670,10169365,1.69 ,1.0080 ,14.5 ,17.25 ,2.2 ,45.1 
湖北,10975406,6398624,1.72 ,0.9774 ,11.0 ,15.68 ,3.3 ,41.3 
湖南,11412808,8041888,1.42 ,1.0023 ,12.3 ,18.94 ,2.7 ,36.1 
广东,29627332,3499753,8.47 ,1.1298 ,9.5 ,18.83 ,2.7 ,27.7 
广西,8752230,5336521,1.64 ,0.9675 ,11.8 ,19.80 ,4.1 ,40.7 
海南,1518250,557752,2.72 ,1.1047 ,36.4 ,1.56 ,5.0 ,32.5 
重庆,6329406,3513648,1.80 ,0.9509 ,22.8 ,16.19 ,5.0 ,35.7 
四川,16923732,9950113,1.70 ,0.9957 ,27.2 ,17.16 ,2.4 ,36.4 
贵州,7161343,3923713,1.83 ,1.0106 ,22.1 ,18.59 ,3.8 ,42.6 
云南,7885728,3010680,2.62 ,1.1027 ,39.5 ,18.69 ,4.2 ,30.3 
西藏,179098,113130,1.58 ,1.2313 ,49.3 ,1.60 ,4.5 ,30.5 
陕西,6680517,2903245,2.30 ,1.1029 ,19.8 ,19.72 ,2.5 ,35.8 
甘肃,4370612,2228054,1.96 ,1.0588 ,28.7 ,18.37 ,3.8 ,43.5 
青海,788380,392989,2.01 ,1.1624 ,28.4 ,17.39 ,2.9 ,34.7 
宁夏,1065611,440353,2.42 ,1.1296 ,23.6 ,16.09 ,2.8 ,31.4 
新疆,4391715,1279767,3.43 ,1.0681 ,34.2 ,8.57 ,4.2 ,29.8 
