省份,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,7315623,442530,16.53 ,0.9947 ,15.8 ,1.94 ,2.7 ,28.1 
天津,2752209,516753,5.33 ,0.9994 ,13.7 ,3.64 ,2.7 ,30.4 
河北,3925593,5797413,0.68 ,1.0167 ,12.0 ,12.03 ,2.7 ,39.2 
山西,3053286,1767420,1.73 ,1.0298 ,12.5 ,13.68 ,2.5 ,43.6 
内蒙古,3430143,1725354,1.99 ,1.0334 ,19.0 ,8.91 ,2.1 ,39.5 
辽宁,6377706,1846827,3.45 ,1.0076 ,16.0 ,11.07 ,3.6 ,35.2 
吉林,2851803,2517858,1.13 ,1.0198 ,20.8 ,12.87 ,4.3 ,31.5 
黑龙江,2893122,4706856,0.61 ,1.0176 ,20.0 ,12.61 ,5.0 ,37.5 
上海,8564931,448875,19.08 ,1.0042 ,16.7 ,2.00 ,1.8 ,32.5 
江苏,9732015,5702859,1.71 ,0.9834 ,12.6 ,7.99 ,1.7 ,30.8 
浙江,9779355,3558141,2.75 ,1.0266 ,11.0 ,3.68 ,2.0 ,35.7 
安徽,3654333,15531966,0.24 ,1.0154 ,11.8 ,10.64 ,1.8 ,40.0 
福建,5770692,3250152,1.78 ,1.0245 ,9.9 ,10.98 ,2.5 ,31.2 
江西,2023713,10598904,0.19 ,1.0495 ,11.1 ,15.88 ,2.5 ,39.0 
山东,8109603,5135751,1.58 ,1.0043 ,14.2 ,9.59 ,3.1 ,37.1 
河南,5071374,14633082,0.35 ,1.0111 ,14.8 ,15.16 ,2.1 ,45.1 
湖北,5297733,11040138,0.48 ,1.0350 ,11.0 ,14.65 ,3.0 ,40.0 
湖南,3755916,13897764,0.27 ,1.0433 ,10.9 ,17.05 ,2.6 ,37.0 
广东,26961678,1392012,19.37 ,1.0449 ,9.8 ,10.77 ,2.6 ,29.3 
广西,3044997,8176545,0.37 ,1.0705 ,10.7 ,19.30 ,3.7 ,40.0 
海南,984762,551205,1.79 ,1.1051 ,38.3 ,0.06 ,4.9 ,36.1 
重庆,3072474,5673078,0.54 ,1.0068 ,22.9 ,17.05 ,4.6 ,33.8 
四川,5491620,14555997,0.38 ,1.0146 ,26.9 ,15.87 ,2.3 ,36.6 
贵州,2079504,4901580,0.42 ,1.0448 ,20.0 ,15.95 ,3.6 ,43.0 
云南,2257974,1593135,1.42 ,1.0544 ,31.3 ,12.37 ,4.4 ,33.9 
西藏,94986,81783,1.16 ,1.0151 ,44.7 ,0.01 ,5.3 ,37.9 
陕西,2791395,3265569,0.85 ,1.0385 ,18.7 ,13.13 ,2.6 ,39.6 
甘肃,1461006,2400165,0.61 ,1.0193 ,24.5 ,13.49 ,3.7 ,44.4 
青海,535482,312903,1.71 ,1.0257 ,25.1 ,9.23 ,3.0 ,38.8 
宁夏,714411,297783,2.40 ,1.0208 ,22.1 ,9.80 ,2.9 ,35.0 
新疆,2172132,551043,3.94 ,1.0431 ,30.0 ,5.60 ,4.2 ,31.8 
