省份,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,7610995,449180,16.94 ,1.0290 ,17.6 ,3.59 ,2.8 ,26.5 
天津,2911604,501619,5.80 ,1.0536 ,14.8 ,7.24 ,3.5 ,33.8 
河北,6464107,6177358,1.05 ,1.0979 ,12.5 ,16.54 ,2.9 ,39.7 
山西,4213879,2035188,2.07 ,1.0272 ,13.5 ,19.62 ,2.5 ,40.1 
内蒙古,4228008,1847556,2.29 ,1.1179 ,19.8 ,14.17 ,2.3 ,39.4 
辽宁,7608344,2103240,3.62 ,1.1015 ,16.3 ,13.54 ,3.9 ,35.9 
吉林,3678166,2640510,1.39 ,1.1051 ,22.0 ,15.31 ,4.5 ,31.6 
黑龙江,4050187,4791331,0.85 ,1.1012 ,22.6 ,15.97 ,5.4 ,38.5 
上海,8903746,471635,18.88 ,1.1277 ,18.1 ,3.83 ,2.0 ,33.5 
江苏,12114841,6215008,1.95 ,1.0544 ,13.7 ,11.71 ,1.9 ,33.8 
浙江,11619696,4000751,2.90 ,1.1154 ,11.2 ,5.96 ,2.3 ,37.7 
安徽,6042376,14794837,0.41 ,1.0928 ,12.6 ,14.69 ,2.0 ,43.1 
福建,6908734,3318570,2.08 ,1.1160 ,10.3 ,17.58 ,2.9 ,32.9 
江西,3408983,10006138,0.34 ,1.1336 ,11.5 ,24.36 ,2.8 ,39.7 
山东,11657930,5952198,1.96 ,1.0801 ,15.1 ,13.81 ,3.4 ,39.2 
河南,8655114,14463353,0.60 ,1.0832 ,15.5 ,21.51 ,2.3 ,47.5 
湖北,7181407,10571342,0.68 ,1.1210 ,11.3 ,19.89 ,3.4 ,41.5 
湖南,6061104,13304160,0.46 ,1.1310 ,12.0 ,23.96 ,2.9 ,37.1 
广东,29556113,2053273,14.39 ,1.1177 ,9.7 ,20.51 ,3.2 ,32.3 
广西,4778886,7989196,0.60 ,1.1583 ,11.6 ,25.89 ,4.2 ,40.5 
海南,1190458,591540,2.01 ,1.1975 ,39.1 ,0.06 ,5.8 ,36.8 
重庆,4152832,5492545,0.76 ,1.0963 ,25.0 ,21.62 ,5.0 ,34.7 
四川,8928178,14342842,0.62 ,1.0993 ,29.9 ,21.81 ,2.5 ,37.2 
贵州,3578516,4983110,0.72 ,1.1321 ,23.0 ,23.08 ,4.1 ,44.3 
云南,3915511,2083847,1.88 ,1.1508 ,36.2 ,21.24 ,4.9 ,33.9 
西藏,118190,95892,1.23 ,1.1029 ,49.0 ,0.06 ,5.9 ,38.4 
陕西,4021188,3397237,1.18 ,1.1293 ,20.9 ,22.53 ,2.9 ,40.5 
甘肃,2335651,2522136,0.93 ,1.0972 ,29.6 ,21.57 ,4.3 ,47.9 
青海,634671,356229,1.78 ,1.1202 ,29.7 ,18.45 ,3.5 ,41.2 
宁夏,852421,356765,2.39 ,1.1079 ,25.1 ,17.65 ,3.3 ,36.3 
新疆,2911975,784549,3.71 ,1.1366 ,34.3 ,8.99 ,4.8 ,32.3 
